report_date,order_count,day_type
2024-01-01,88,weekday
2024-01-02,88,weekday
2024-01-03,85,weekday
2024-01-04,74,weekday
2024-01-05,84,weekday
2024-01-06,47,weekend
2024-01-07,45,weekend
2024-01-08,81,weekday
2024-01-09,80,weekday
2024-01-10,87,weekday
2024-01-11,87,weekday
2024-01-12,82,weekday
2024-01-13,44,weekend
2024-01-14,40,weekend
2024-01-15,76,weekday
2024-01-16,273,weekday
2024-01-17,82,weekday
2024-01-18,77,weekday
2024-01-19,83,weekday
2024-01-20,31,weekend
2024-01-21,40,weekend
2024-01-22,85,weekday
2024-01-23,82,weekday
2024-01-24,82,weekday
2024-01-25,90,weekday
2024-01-26,74,weekday
2024-01-27,45,weekend
2024-01-28,31,weekend
2024-01-29,74,weekday
2024-01-30,86,weekday
2024-01-31,30,weekday
2024-02-01,73,weekday
2024-02-02,84,weekday
2024-02-03,33,weekend
2024-02-04,46,weekend
2024-02-05,84,weekday
2024-02-06,70,weekday
2024-02-07,74,weekday
2024-02-08,83,weekday
2024-02-09,90,weekday
2024-02-10,34,weekend
2024-02-11,32,weekend
2024-02-12,85,weekday
2024-02-13,78,weekday
2024-02-14,80,weekday
2024-02-15,89,weekday
2024-02-16,82,weekday
2024-02-17,50,weekend
2024-02-18,32,weekend
2024-02-19,52,weekday
2024-02-20,38,weekday
2024-02-21,44,weekday
2024-02-22,68,weekday
2024-02-23,90,weekday
2024-02-24,45,weekend
2024-02-25,47,weekend
2024-02-26,71,weekday
2024-02-27,89,weekday
2024-02-28,72,weekday
2024-02-29,77,weekday
2024-03-01,90,weekday
2024-03-02,39,weekend
2024-03-03,171,weekend
2024-03-04,83,weekday
2024-03-05,73,weekday
2024-03-06,90,weekday
2024-03-07,73,weekday
2024-03-08,84,weekday
2024-03-09,35,weekend
2024-03-10,39,weekend
2024-03-11,70,weekday
2024-03-12,71,weekday
2024-03-13,80,weekday
2024-03-14,71,weekday
2024-03-15,79,weekday
2024-03-16,41,weekend
2024-03-17,41,weekend
2024-03-18,83,weekday
2024-03-19,74,weekday
2024-03-20,77,weekday
2024-03-21,86,weekday
2024-03-22,83,weekday
2024-03-23,48,weekend
2024-03-24,35,weekend
2024-03-25,75,weekday
2024-03-26,75,weekday
2024-03-27,72,weekday
2024-03-28,89,weekday
2024-03-29,21,weekday
2024-03-30,37,weekend
2024-03-31,45,weekend
2024-04-01,88,weekday
2024-04-02,74,weekday
2024-04-03,77,weekday
2024-04-04,84,weekday
2024-04-05,90,weekday
2024-04-06,38,weekend
2024-04-07,44,weekend
2024-04-08,78,weekday
2024-04-09,70,weekday
2024-04-10,84,weekday
2024-04-11,79,weekday
2024-04-12,87,weekday
2024-04-13,169,weekend
2024-04-14,44,weekend
2024-04-15,81,weekday
2024-04-16,88,weekday
2024-04-17,79,weekday
2024-04-18,90,weekday
2024-04-19,83,weekday
2024-04-20,38,weekend
2024-04-21,44,weekend
2024-04-22,79,weekday
2024-04-23,76,weekday
2024-04-24,82,weekday
2024-04-25,85,weekday
2024-04-26,73,weekday
2024-04-27,37,weekend
2024-04-28,42,weekend
2024-04-29,88,weekday
2024-04-30,81,weekday
2024-05-01,88,weekday
2024-05-02,79,weekday
2024-05-03,79,weekday
2024-05-04,30,weekend
2024-05-05,42,weekend
2024-05-06,78,weekday
2024-05-07,70,weekday
2024-05-08,88,weekday
2024-05-09,71,weekday
2024-05-10,89,weekday
2024-05-11,45,weekend
2024-05-12,39,weekend
2024-05-13,77,weekday
2024-05-14,89,weekday
2024-05-15,81,weekday
2024-05-16,77,weekday
2024-05-17,90,weekday
2024-05-18,36,weekend
2024-05-19,49,weekend
2024-05-20,78,weekday
2024-05-21,74,weekday
2024-05-22,90,weekday
2024-05-23,73,weekday
2024-05-24,90,weekday
2024-05-25,50,weekend
2024-05-26,31,weekend
2024-05-27,79,weekday
2024-05-28,84,weekday
2024-05-29,71,weekday
2024-05-30,88,weekday
2024-05-31,81,weekday
2024-06-01,34,weekend
2024-06-02,32,weekend
2024-06-03,79,weekday
2024-06-04,253,weekday
2024-06-05,75,weekday
2024-06-06,76,weekday
2024-06-07,74,weekday
2024-06-08,47,weekend
2024-06-09,41,weekend
2024-06-10,86,weekday
2024-06-11,86,weekday
2024-06-12,78,weekday
2024-06-13,75,weekday
2024-06-14,78,weekday
2024-06-15,45,weekend
2024-06-16,39,weekend
2024-06-17,80,weekday
2024-06-18,73,weekday
2024-06-19,84,weekday
2024-06-20,72,weekday
2024-06-21,74,weekday
2024-06-22,37,weekend
2024-06-23,42,weekend
2024-06-24,87,weekday
2024-06-25,81,weekday
2024-06-26,72,weekday
2024-06-27,82,weekday
2024-06-28,70,weekday
