check_id,table_name,check_name,description,run_date,passed,failed_row_count
DQC0001,orders,no_null_customer_id,NOT NULL check on customer_id,2024-04-01,True,0
DQC0002,orders,no_null_customer_id,NOT NULL check on customer_id,2024-04-08,False,2
DQC0003,orders,no_null_customer_id,NOT NULL check on customer_id,2024-04-15,True,0
DQC0004,orders,no_null_customer_id,NOT NULL check on customer_id,2024-04-22,True,0
DQC0005,orders,no_null_customer_id,NOT NULL check on customer_id,2024-04-29,True,0
DQC0006,orders,no_null_customer_id,NOT NULL check on customer_id,2024-05-06,True,0
DQC0007,orders,no_null_customer_id,NOT NULL check on customer_id,2024-05-13,True,0
DQC0008,orders,no_null_customer_id,NOT NULL check on customer_id,2024-05-20,False,1
DQC0009,orders,no_null_customer_id,NOT NULL check on customer_id,2024-05-27,True,0
DQC0010,orders,no_null_customer_id,NOT NULL check on customer_id,2024-06-03,True,0
DQC0011,orders,status_valid_values,Status in allowed list,2024-04-01,True,0
DQC0012,orders,status_valid_values,Status in allowed list,2024-04-08,True,0
DQC0013,orders,status_valid_values,Status in allowed list,2024-04-15,True,0
DQC0014,orders,status_valid_values,Status in allowed list,2024-04-22,True,0
DQC0015,orders,status_valid_values,Status in allowed list,2024-04-29,True,0
DQC0016,orders,status_valid_values,Status in allowed list,2024-05-06,True,0
DQC0017,orders,status_valid_values,Status in allowed list,2024-05-13,True,0
DQC0018,orders,status_valid_values,Status in allowed list,2024-05-20,True,0
DQC0019,orders,status_valid_values,Status in allowed list,2024-05-27,True,0
DQC0020,orders,status_valid_values,Status in allowed list,2024-06-03,True,0
DQC0021,order_items,positive_quantity,Quantity > 0,2024-04-01,True,0
DQC0022,order_items,positive_quantity,Quantity > 0,2024-04-08,True,0
DQC0023,order_items,positive_quantity,Quantity > 0,2024-04-15,False,1
DQC0024,order_items,positive_quantity,Quantity > 0,2024-04-22,True,0
DQC0025,order_items,positive_quantity,Quantity > 0,2024-04-29,True,0
DQC0026,order_items,positive_quantity,Quantity > 0,2024-05-06,True,0
DQC0027,order_items,positive_quantity,Quantity > 0,2024-05-13,True,0
DQC0028,order_items,positive_quantity,Quantity > 0,2024-05-20,True,0
DQC0029,order_items,positive_quantity,Quantity > 0,2024-05-27,True,0
DQC0030,order_items,positive_quantity,Quantity > 0,2024-06-03,True,0
DQC0031,order_items,price_matches_product,unit_price_at_order matches products.unit_price,2024-04-01,True,0
DQC0032,order_items,price_matches_product,unit_price_at_order matches products.unit_price,2024-04-08,True,0
DQC0033,order_items,price_matches_product,unit_price_at_order matches products.unit_price,2024-04-15,True,0
DQC0034,order_items,price_matches_product,unit_price_at_order matches products.unit_price,2024-04-22,True,0
DQC0035,order_items,price_matches_product,unit_price_at_order matches products.unit_price,2024-04-29,True,0
DQC0036,order_items,price_matches_product,unit_price_at_order matches products.unit_price,2024-05-06,True,0
DQC0037,order_items,price_matches_product,unit_price_at_order matches products.unit_price,2024-05-13,True,0
DQC0038,order_items,price_matches_product,unit_price_at_order matches products.unit_price,2024-05-20,True,0
DQC0039,order_items,price_matches_product,unit_price_at_order matches products.unit_price,2024-05-27,True,0
DQC0040,order_items,price_matches_product,unit_price_at_order matches products.unit_price,2024-06-03,True,0
DQC0041,inventory,non_negative_qty,quantity_on_hand >= 0,2024-04-01,True,0
DQC0042,inventory,non_negative_qty,quantity_on_hand >= 0,2024-04-08,True,0
DQC0043,inventory,non_negative_qty,quantity_on_hand >= 0,2024-04-15,True,0
DQC0044,inventory,non_negative_qty,quantity_on_hand >= 0,2024-04-22,True,0
DQC0045,inventory,non_negative_qty,quantity_on_hand >= 0,2024-04-29,True,0
DQC0046,inventory,non_negative_qty,quantity_on_hand >= 0,2024-05-06,False,2
DQC0047,inventory,non_negative_qty,quantity_on_hand >= 0,2024-05-13,True,0
DQC0048,inventory,non_negative_qty,quantity_on_hand >= 0,2024-05-20,False,3
DQC0049,inventory,non_negative_qty,quantity_on_hand >= 0,2024-05-27,False,1
DQC0050,inventory,non_negative_qty,quantity_on_hand >= 0,2024-06-03,True,0
DQC0051,customers,unique_customer_id,PRIMARY KEY uniqueness,2024-04-01,True,0
DQC0052,customers,unique_customer_id,PRIMARY KEY uniqueness,2024-04-08,False,2
DQC0053,customers,unique_customer_id,PRIMARY KEY uniqueness,2024-04-15,True,0
DQC0054,customers,unique_customer_id,PRIMARY KEY uniqueness,2024-04-22,False,1
DQC0055,customers,unique_customer_id,PRIMARY KEY uniqueness,2024-04-29,False,1
DQC0056,customers,unique_customer_id,PRIMARY KEY uniqueness,2024-05-06,True,0
DQC0057,customers,unique_customer_id,PRIMARY KEY uniqueness,2024-05-13,True,0
DQC0058,customers,unique_customer_id,PRIMARY KEY uniqueness,2024-05-20,True,0
DQC0059,customers,unique_customer_id,PRIMARY KEY uniqueness,2024-05-27,True,0
DQC0060,customers,unique_customer_id,PRIMARY KEY uniqueness,2024-06-03,True,0
DQC0061,products,supplier_exists,FK: supplier_id in suppliers,2024-04-01,True,0
DQC0062,products,supplier_exists,FK: supplier_id in suppliers,2024-04-08,True,0
DQC0063,products,supplier_exists,FK: supplier_id in suppliers,2024-04-15,True,0
DQC0064,products,supplier_exists,FK: supplier_id in suppliers,2024-04-22,True,0
DQC0065,products,supplier_exists,FK: supplier_id in suppliers,2024-04-29,True,0
DQC0066,products,supplier_exists,FK: supplier_id in suppliers,2024-05-06,True,0
DQC0067,products,supplier_exists,FK: supplier_id in suppliers,2024-05-13,True,0
DQC0068,products,supplier_exists,FK: supplier_id in suppliers,2024-05-20,False,2
DQC0069,products,supplier_exists,FK: supplier_id in suppliers,2024-05-27,True,0
DQC0070,products,supplier_exists,FK: supplier_id in suppliers,2024-06-03,True,0
DQC0071,pipeline_runs,row_count_threshold,rows_processed > minimum threshold,2024-04-01,True,0
DQC0072,pipeline_runs,row_count_threshold,rows_processed > minimum threshold,2024-04-08,True,0
DQC0073,pipeline_runs,row_count_threshold,rows_processed > minimum threshold,2024-04-15,False,3
DQC0074,pipeline_runs,row_count_threshold,rows_processed > minimum threshold,2024-04-22,True,0
DQC0075,pipeline_runs,row_count_threshold,rows_processed > minimum threshold,2024-04-29,True,0
DQC0076,pipeline_runs,row_count_threshold,rows_processed > minimum threshold,2024-05-06,True,0
DQC0077,pipeline_runs,row_count_threshold,rows_processed > minimum threshold,2024-05-13,True,0
DQC0078,pipeline_runs,row_count_threshold,rows_processed > minimum threshold,2024-05-20,True,0
DQC0079,pipeline_runs,row_count_threshold,rows_processed > minimum threshold,2024-05-27,False,1
DQC0080,pipeline_runs,row_count_threshold,rows_processed > minimum threshold,2024-06-03,True,0
