inventory_id,product_id,warehouse_id,quantity_on_hand,last_updated
INV0001,PRD001,WH002,353,2024-07-24
INV0002,PRD001,WH001,321,2024-06-16
INV0003,PRD001,WH003,52,2024-07-15
INV0004,PRD002,WH005,400,2024-06-03
INV0005,PRD002,WH001,177,2024-07-05
INV0006,PRD002,WH003,219,2024-07-13
INV0007,PRD003,WH001,434,2024-06-27
INV0008,PRD003,WH003,421,2024-07-02
INV0009,PRD003,WH005,54,2024-06-28
INV0010,PRD004,WH004,90,2024-07-17
INV0011,PRD004,WH002,267,2024-07-12
INV0012,PRD004,WH005,138,2024-07-10
INV0013,PRD005,WH004,165,2024-07-25
INV0014,PRD005,WH005,125,2024-07-24
INV0015,PRD005,WH002,478,2024-06-06
INV0016,PRD005,WH003,142,2024-07-27
INV0017,PRD006,WH002,312,2024-07-13
INV0018,PRD006,WH004,194,2024-06-22
INV0019,PRD006,WH003,14,2024-07-02
INV0020,PRD007,WH002,181,2024-07-22
INV0021,PRD007,WH004,132,2024-06-22
INV0022,PRD007,WH001,143,2024-07-27
INV0023,PRD008,WH003,43,2024-06-16
INV0024,PRD008,WH001,368,2024-06-27
INV0025,PRD008,WH005,250,2024-07-06
INV0026,PRD008,WH004,388,2024-06-16
INV0027,PRD009,WH004,47,2024-06-19
INV0028,PRD009,WH005,113,2024-06-26
INV0029,PRD009,WH002,354,2024-06-16
INV0030,PRD009,WH001,156,2024-07-13
INV0031,PRD010,WH003,217,2024-07-18
INV0032,PRD010,WH004,281,2024-06-22
INV0033,PRD010,WH005,180,2024-07-15
INV0034,PRD010,WH002,232,2024-06-18
INV0035,PRD011,WH003,369,2024-06-13
INV0036,PRD011,WH002,161,2024-06-08
INV0037,PRD011,WH001,380,2024-07-05
INV0038,PRD012,WH002,141,2024-07-17
INV0039,PRD012,WH005,301,2024-07-19
INV0040,PRD012,WH001,268,2024-07-09
INV0041,PRD012,WH004,144,2024-06-07
INV0042,PRD013,WH003,184,2024-06-12
INV0043,PRD013,WH002,154,2024-06-01
INV0044,PRD014,WH005,498,2024-06-04
INV0045,PRD014,WH002,283,2024-06-19
INV0046,PRD014,WH004,357,2024-07-31
INV0047,PRD014,WH001,64,2024-07-11
INV0048,PRD015,WH001,145,2024-07-01
INV0049,PRD015,WH005,245,2024-06-29
INV0050,PRD015,WH003,174,2024-06-12
