item_id,order_id,product_id,quantity,unit_price_at_order
ITEM00001,ORD0001,PRD005,10,189.99
ITEM00002,ORD0001,PRD015,4,199.99
ITEM00003,ORD0002,PRD004,5,399.99
ITEM00004,ORD0002,PRD011,9,79.99
ITEM00005,ORD0002,PRD014,8,449.99
ITEM00006,ORD0003,PRD015,2,199.99
ITEM00007,ORD0003,PRD014,7,449.99
ITEM00008,ORD0003,PRD001,5,149.99
ITEM00009,ORD0004,PRD001,6,149.99
ITEM00010,ORD0005,PRD011,3,79.99
ITEM00011,ORD0005,PRD005,8,189.99
ITEM00012,ORD0006,PRD009,3,19.99
ITEM00013,ORD0006,PRD001,9,149.99
ITEM00014,ORD0006,PRD002,1,249.99
ITEM00015,ORD0006,PRD013,6,299.99
ITEM00016,ORD0007,PRD007,1,89.99
ITEM00017,ORD0007,PRD003,5,599.99
ITEM00018,ORD0008,PRD015,6,199.99
ITEM00019,ORD0008,PRD013,4,299.99
ITEM00020,ORD0008,PRD001,4,149.99
ITEM00021,ORD0009,PRD006,9,349.99
ITEM00022,ORD0010,PRD010,3,29.99
ITEM00023,ORD0010,PRD012,3,119.99
ITEM00024,ORD0010,PRD003,7,599.99
ITEM00025,ORD0010,PRD004,1,399.99
ITEM00026,ORD0011,PRD012,7,119.99
ITEM00027,ORD0011,PRD006,4,349.99
ITEM00028,ORD0012,PRD003,2,599.99
ITEM00029,ORD0012,PRD013,7,299.99
ITEM00030,ORD0012,PRD012,1,119.99
ITEM00031,ORD0013,PRD004,5,399.99
ITEM00032,ORD0013,PRD015,4,199.99
ITEM00033,ORD0013,PRD008,4,129.99
ITEM00034,ORD0013,PRD006,1,349.99
ITEM00035,ORD0014,PRD007,5,89.99
ITEM00036,ORD0014,PRD006,2,349.99
ITEM00037,ORD0015,PRD006,7,349.99
ITEM00038,ORD0015,PRD011,9,79.99
ITEM00039,ORD0015,PRD009,6,19.99
ITEM00040,ORD0016,PRD002,5,249.99
ITEM00041,ORD0017,PRD010,1,29.99
ITEM00042,ORD0017,PRD005,2,189.99
ITEM00043,ORD0018,PRD006,7,349.99
ITEM00044,ORD0018,PRD012,10,119.99
ITEM00045,ORD0018,PRD013,9,299.99
ITEM00046,ORD0018,PRD015,2,199.99
ITEM00047,ORD0019,PRD015,1,199.99
ITEM00048,ORD0019,PRD010,7,29.99
ITEM00049,ORD0019,PRD004,1,399.99
ITEM00050,ORD0019,PRD005,9,189.99
ITEM00051,ORD0020,PRD006,2,349.99
ITEM00052,ORD0020,PRD007,6,89.99
ITEM00053,ORD0021,PRD011,5,79.99
ITEM00054,ORD0021,PRD014,9,449.99
ITEM00055,ORD0021,PRD002,5,249.99
ITEM00056,ORD0022,PRD006,9,349.99
ITEM00057,ORD0022,PRD007,3,89.99
ITEM00058,ORD0022,PRD012,4,119.99
ITEM00059,ORD0022,PRD005,7,189.99
ITEM00060,ORD0023,PRD011,10,79.99
ITEM00061,ORD0023,PRD012,5,119.99
ITEM00062,ORD0023,PRD003,7,599.99
ITEM00063,ORD0023,PRD010,9,29.99
ITEM00064,ORD0024,PRD005,5,189.99
ITEM00065,ORD0025,PRD007,10,89.99
ITEM00066,ORD0025,PRD013,10,299.99
ITEM00067,ORD0026,PRD008,4,129.99
ITEM00068,ORD0026,PRD015,9,199.99
ITEM00069,ORD0026,PRD014,8,449.99
ITEM00070,ORD0027,PRD011,5,79.99
ITEM00071,ORD0027,PRD002,9,249.99
ITEM00072,ORD0028,PRD002,4,249.99
ITEM00073,ORD0028,PRD014,5,449.99
ITEM00074,ORD0028,PRD013,4,299.99
ITEM00075,ORD0029,PRD003,1,599.99
ITEM00076,ORD0029,PRD001,4,149.99
ITEM00077,ORD0030,PRD010,8,29.99
ITEM00078,ORD0030,PRD014,7,449.99
ITEM00079,ORD0030,PRD013,10,299.99
ITEM00080,ORD0030,PRD002,4,249.99
ITEM00081,ORD0031,PRD008,1,129.99
ITEM00082,ORD0031,PRD007,2,89.99
ITEM00083,ORD0031,PRD004,7,399.99
ITEM00084,ORD0031,PRD003,4,599.99
ITEM00085,ORD0032,PRD013,9,299.99
ITEM00086,ORD0032,PRD012,8,119.99
ITEM00087,ORD0033,PRD009,4,19.99
ITEM00088,ORD0034,PRD008,3,129.99
ITEM00089,ORD0035,PRD011,6,79.99
ITEM00090,ORD0035,PRD009,8,19.99
ITEM00091,ORD0035,PRD014,10,449.99
ITEM00092,ORD0035,PRD010,9,29.99
ITEM00093,ORD0036,PRD014,8,449.99
ITEM00094,ORD0036,PRD009,8,19.99
ITEM00095,ORD0036,PRD008,5,129.99
ITEM00096,ORD0036,PRD003,4,599.99
ITEM00097,ORD0037,PRD013,8,299.99
ITEM00098,ORD0037,PRD015,4,199.99
ITEM00099,ORD0037,PRD009,5,19.99
ITEM00100,ORD0038,PRD002,5,249.99
ITEM00101,ORD0038,PRD012,6,119.99
ITEM00102,ORD0038,PRD005,6,189.99
ITEM00103,ORD0038,PRD004,9,399.99
ITEM00104,ORD0039,PRD003,3,599.99
ITEM00105,ORD0040,PRD007,3,89.99
ITEM00106,ORD0040,PRD012,4,119.99
ITEM00107,ORD0041,PRD007,7,89.99
ITEM00108,ORD0042,PRD009,1,19.99
ITEM00109,ORD0042,PRD008,4,129.99
ITEM00110,ORD0042,PRD007,7,89.99
ITEM00111,ORD0043,PRD015,1,199.99
ITEM00112,ORD0043,PRD013,10,299.99
ITEM00113,ORD0043,PRD010,7,29.99
ITEM00114,ORD0043,PRD012,8,119.99
ITEM00115,ORD0044,PRD006,5,349.99
ITEM00116,ORD0045,PRD014,9,449.99
ITEM00117,ORD0045,PRD015,10,199.99
ITEM00118,ORD0045,PRD007,4,89.99
ITEM00119,ORD0045,PRD009,8,19.99
ITEM00120,ORD0046,PRD005,8,189.99
ITEM00121,ORD0046,PRD007,1,89.99
ITEM00122,ORD0047,PRD006,3,349.99
ITEM00123,ORD0047,PRD011,8,79.99
ITEM00124,ORD0047,PRD014,3,449.99
ITEM00125,ORD0047,PRD007,10,89.99
ITEM00126,ORD0048,PRD015,7,199.99
ITEM00127,ORD0049,PRD002,7,249.99
ITEM00128,ORD0050,PRD014,3,449.99
ITEM00129,ORD0050,PRD008,1,129.99
ITEM00130,ORD0051,PRD007,8,89.99
ITEM00131,ORD0051,PRD006,6,349.99
ITEM00132,ORD0051,PRD004,6,399.99
ITEM00133,ORD0052,PRD005,2,189.99
ITEM00134,ORD0052,PRD013,8,299.99
ITEM00135,ORD0052,PRD007,1,89.99
ITEM00136,ORD0052,PRD015,9,199.99
ITEM00137,ORD0053,PRD006,4,349.99
ITEM00138,ORD0054,PRD013,1,299.99
ITEM00139,ORD0055,PRD004,4,399.99
ITEM00140,ORD0056,PRD010,3,29.99
ITEM00141,ORD0057,PRD003,2,599.99
ITEM00142,ORD0057,PRD008,10,129.99
ITEM00143,ORD0058,PRD008,5,129.99
ITEM00144,ORD0058,PRD012,6,119.99
ITEM00145,ORD0059,PRD010,2,29.99
ITEM00146,ORD0059,PRD015,3,199.99
ITEM00147,ORD0060,PRD002,5,249.99
ITEM00148,ORD0060,PRD010,10,29.99
ITEM00149,ORD0060,PRD001,7,149.99
