order_id,customer_id,order_date,status,total_amount
ORD0001,CUST009,2024-10-10,4,3301.39
ORD0002,CUST022,2024-02-28,1,3102.52
ORD0003,CUST025,2024-05-16,4,2261.32
ORD0004,CUST004,2024-05-30,3,595.64
ORD0005,CUST001,2024-05-14,2,2678.77
ORD0006,CUST017,2024-02-24,4,2207.29
ORD0007,CUST021,2024-09-16,2,736.24
ORD0008,CUST012,2024-03-23,2,3339.57
ORD0009,CUST017,2024-01-01,2,1168.34
ORD0010,CUST001,2024-02-27,3,3081.59
ORD0011,CUST010,2024-05-02,3,881.01
ORD0012,CUST019,2024-02-10,3,2575.08
ORD0013,CUST003,2024-09-29,4,483.87
ORD0014,CUST022,2024-08-31,2,619.69
ORD0015,CUST017,2024-11-06,3,3377.05
ORD0016,CUST018,2024-12-19,3,2509.67
ORD0017,CUST013,2024-12-09,1,1338.3
ORD0018,CUST017,2024-08-19,3,905.27
ORD0019,CUST003,2024-06-22,3,2079.67
ORD0020,CUST008,2024-10-28,3,74.81
ORD0021,CUST023,2024-11-19,3,839.85
ORD0022,CUST002,2024-06-18,3,1823.84
ORD0023,CUST009,2024-12-08,3,789.12
ORD0024,CUST005,2024-10-19,2,1680.72
ORD0025,CUST016,2024-07-27,3,375.42
ORD0026,CUST022,2024-08-08,3,1511.35
ORD0027,CUST015,2024-01-28,1,2304.42
ORD0028,CUST021,2024-02-20,3,1439.04
ORD0029,CUST011,2024-02-25,3,710.99
ORD0030,CUST018,2024-08-17,3,1505.49
ORD0031,CUST009,2024-08-24,3,3066.98
ORD0032,CUST003,2024-08-14,4,3021.65
ORD0033,CUST018,2024-02-20,3,2299.9
ORD0034,CUST018,2024-01-08,3,3245.97
ORD0035,CUST008,2024-03-26,3,1725.46
ORD0036,CUST007,2024-07-24,3,618.0
ORD0037,CUST001,2024-07-18,3,3246.49
ORD0038,CUST015,2024-05-26,3,2453.24
ORD0039,CUST024,2024-10-11,1,2528.51
ORD0040,CUST005,2024-04-07,3,801.07
ORD0041,CUST002,2024-10-23,1,1920.57
ORD0042,CUST024,2024-06-09,3,222.99
ORD0043,CUST016,2024-09-14,4,1882.39
ORD0044,CUST002,2024-09-17,3,2987.13
ORD0045,CUST003,2024-10-31,3,2379.48
ORD0046,CUST008,2024-07-25,3,3298.51
ORD0047,CUST019,2024-05-06,2,2101.09
ORD0048,CUST020,2024-02-11,3,2317.94
ORD0049,CUST019,2024-09-24,3,3274.74
ORD0050,CUST007,2024-12-08,1,1133.93
ORD0051,CUST009,2024-07-21,3,2367.33
ORD0052,CUST010,2024-08-22,3,3255.11
ORD0053,CUST003,2024-01-05,3,2193.0
ORD0054,CUST019,2024-02-21,3,1904.84
ORD0055,CUST017,2024-05-15,3,3269.74
ORD0056,CUST003,2024-05-05,3,1033.21
ORD0057,CUST015,2024-10-05,1,1093.68
ORD0058,CUST021,2024-09-27,3,2354.13
ORD0059,CUST018,2024-06-02,1,407.37
ORD0060,CUST005,2024-05-15,3,3119.51
