run_id,pipeline_name,start_time,end_time,status,rows_processed,error_message
RUN0001,daily_order_ingest,2024-06-01 14:00:00,2024-06-01 14:08:49,Success,635,
RUN0002,sales_summary_agg,2024-06-02 03:00:00,2024-06-02 03:01:55,Success,539,
RUN0003,inventory_sync,2024-06-02 13:00:00,2024-06-02 13:14:30,Success,2589,
RUN0004,daily_order_ingest,2024-06-03 01:00:00,2024-06-03 01:02:41,Success,3509,
RUN0005,product_catalog_load,2024-06-03 16:00:00,2024-06-03 16:14:09,Success,1948,
RUN0006,product_catalog_load,2024-06-04 03:00:00,2024-06-04 03:08:21,Failed,0,"Row count check failed: expected 1420 rows, got 847"
RUN0007,sales_summary_agg,2024-06-04 14:00:00,2024-06-04 14:10:42,Success,2601,
RUN0008,product_catalog_load,2024-06-05 04:00:00,2024-06-05 04:01:41,Success,912,
RUN0009,inventory_sync,2024-06-05 17:00:00,2024-06-05 17:04:16,Success,765,
RUN0010,inventory_sync,2024-06-06 01:00:00,2024-06-06 01:03:37,Success,714,
RUN0011,inventory_sync,2024-06-06 12:00:00,2024-06-06 12:07:38,Success,4964,
RUN0012,sales_summary_agg,2024-06-07 02:00:00,2024-06-07 02:01:13,Success,2460,
RUN0013,customer_dim_refresh,2024-06-07 17:00:00,2024-06-07 17:08:24,Success,2012,
RUN0014,customer_dim_refresh,2024-06-08 06:00:00,2024-06-08 06:14:10,Failed,0,Column 'unit_price' not found in source schema
RUN0015,product_catalog_load,2024-06-08 17:00:00,2024-06-08 17:14:23,Failed,0,"Row count check failed: expected 1420 rows, got 847"
RUN0016,inventory_sync,2024-06-09 03:00:00,2024-06-09 03:02:37,Success,1941,
RUN0017,inventory_sync,2024-06-09 14:00:00,2024-06-09 14:14:46,Success,684,
RUN0018,daily_order_ingest,2024-06-10 01:00:00,2024-06-10 01:14:11,Success,4974,
RUN0019,product_catalog_load,2024-06-10 14:00:00,2024-06-10 14:08:09,Success,3939,
RUN0020,customer_dim_refresh,2024-06-11 05:00:00,2024-06-11 05:07:32,Success,4199,
RUN0021,product_catalog_load,2024-06-11 15:00:00,2024-06-11 15:08:08,Success,4999,
RUN0022,daily_order_ingest,2024-06-12 03:00:00,2024-06-12 03:13:12,Success,2151,
RUN0023,daily_order_ingest,2024-06-12 12:00:00,2024-06-12 12:04:34,Failed,0,Column 'unit_price' not found in source schema
RUN0024,product_catalog_load,2024-06-13 04:00:00,2024-06-13 04:01:01,Failed,0,Duplicate key violation on order_id ORD0312
RUN0025,customer_dim_refresh,2024-06-13 16:00:00,2024-06-13 16:01:21,Failed,0,Duplicate key violation on order_id ORD0312
RUN0026,inventory_sync,2024-06-14 03:00:00,2024-06-14 03:09:31,Failed,0,Column 'unit_price' not found in source schema
RUN0027,sales_summary_agg,2024-06-14 14:00:00,2024-06-14 14:03:45,Success,3670,
RUN0028,sales_summary_agg,2024-06-15 00:00:00,2024-06-15 00:08:41,Success,3445,
RUN0029,customer_dim_refresh,2024-06-15 14:00:00,2024-06-15 14:12:06,Success,1417,
RUN0030,customer_dim_refresh,2024-06-16 03:00:00,2024-06-16 03:12:30,Success,2461,
RUN0031,sales_summary_agg,2024-06-16 18:00:00,2024-06-16 18:13:38,Success,400,
RUN0032,sales_summary_agg,2024-06-17 00:00:00,2024-06-17 00:06:02,Success,2748,
RUN0033,daily_order_ingest,2024-06-17 18:00:00,2024-06-17 18:07:33,Failed,0,NULL value in non-nullable column 'customer_id'
RUN0034,product_catalog_load,2024-06-18 06:00:00,2024-06-18 06:00:41,Failed,0,Column 'unit_price' not found in source schema
RUN0035,product_catalog_load,2024-06-18 15:00:00,2024-06-18 15:07:43,Success,1636,
RUN0036,product_catalog_load,2024-06-19 02:00:00,2024-06-19 02:11:17,Failed,0,Duplicate key violation on order_id ORD0312
RUN0037,sales_summary_agg,2024-06-19 17:00:00,2024-06-19 17:08:12,Failed,0,Duplicate key violation on order_id ORD0312
RUN0038,daily_order_ingest,2024-06-20 01:00:00,2024-06-20 01:05:13,Success,1173,
RUN0039,customer_dim_refresh,2024-06-20 15:00:00,2024-06-20 15:12:35,Success,1094,
RUN0040,daily_order_ingest,2024-06-21 05:00:00,2024-06-21 05:11:03,Failed,0,Duplicate key violation on order_id ORD0312
RUN0041,inventory_sync,2024-06-21 17:00:00,2024-06-21 17:03:22,Success,4612,
RUN0042,daily_order_ingest,2024-06-22 04:00:00,2024-06-22 04:07:37,Success,1940,
RUN0043,daily_order_ingest,2024-06-22 15:00:00,2024-06-22 15:02:40,Failed,0,Column 'unit_price' not found in source schema
RUN0044,inventory_sync,2024-06-23 03:00:00,2024-06-23 03:12:53,Success,4268,
RUN0045,customer_dim_refresh,2024-06-23 15:00:00,2024-06-23 15:14:54,Success,3968,
RUN0046,inventory_sync,2024-06-24 03:00:00,2024-06-24 03:10:04,Success,3242,
RUN0047,inventory_sync,2024-06-24 16:00:00,2024-06-24 16:09:20,Failed,0,Connection timeout after 30s: upstream API unavailable
RUN0048,inventory_sync,2024-06-25 06:00:00,2024-06-25 06:01:51,Success,3499,
RUN0049,customer_dim_refresh,2024-06-25 18:00:00,2024-06-25 18:09:19,Success,121,
RUN0050,customer_dim_refresh,2024-06-26 05:00:00,2024-06-26 05:05:45,Failed,0,NULL value in non-nullable column 'customer_id'
