customer_id,segment,region,account_created_date,order_count,total_spend,avg_order_value
CUST003,Enterprise,North,2021-08-12,6,11190.88,1865.15
CUST017,Enterprise,East,2021-08-23,5,10927.69,2185.54
CUST018,Government,West,2021-03-09,5,9968.4,1993.68
CUST019,SMB,East,2022-11-03,4,9855.75,2463.94
CUST009,Government,Central,2021-02-14,4,9524.82,2381.2
CUST001,SMB,East,2021-08-17,3,9006.85,3002.28
CUST002,Enterprise,Central,2022-08-28,3,6731.54,2243.85
CUST015,SMB,North,2022-07-01,3,5851.34,1950.45
CUST005,SMB,West,2022-04-05,3,5601.3,1867.1
CUST022,Government,West,2021-08-13,3,5233.56,1744.52
CUST008,Education,North,2021-04-10,3,5098.78,1699.59
CUST021,Government,Central,2022-08-22,3,4529.41,1509.8
CUST010,Education,North,2021-03-22,2,4136.12,2068.06
CUST012,SMB,North,2021-10-24,1,3339.57,3339.57
CUST024,Education,South,2022-09-03,2,2751.5,1375.75
CUST020,SMB,West,2021-09-29,1,2317.94,2317.94
CUST025,Education,West,2022-06-26,1,2261.32,2261.32
CUST016,Education,West,2021-10-04,2,2257.81,1128.9
CUST007,SMB,East,2021-08-09,2,1751.93,875.97
CUST013,Education,North,2021-10-12,1,1338.3,1338.3
CUST023,Enterprise,West,2021-02-18,1,839.85,839.85
CUST011,Government,Central,2022-08-15,1,710.99,710.99
CUST004,Enterprise,Central,2022-07-29,1,595.64,595.64
CUST006,SMB,North,2022-12-16,0,0.0,0
CUST014,Government,South,2021-12-30,0,0.0,0
